指标,样本数,均值,标准差,最小值,25分位,中位数,75分位,最大值
cleared,10,12.6,1.838,10.0,11.25,12.5,13.0,16.0
detected,10,12.8,1.687,11.0,11.25,13.0,13.0,16.0
missed,10,0.2,0.422,0.0,0.0,0.0,0.0,1.0
vt_total_s,10,8060.422,1394.225,6933.07,7050.599,7607.206,8513.081,11202.072
vt_total_h,10,2.239,0.387,1.926,1.959,2.113,2.365,3.112
avg_per_source_s,10,653.919,163.248,502.096,549.022,585.865,683.176,957.416
avg_locate_clear_s,10,2625.136,870.983,1620.127,2050.59,2446.07,2882.487,4514.997
n_measure,10,343.3,49.666,261.0,314.25,353.5,381.25,404.0
n_clear,10,13.7,2.584,10.0,12.0,13.5,15.0,18.0
n_clear_fail,10,1.1,0.994,0.0,0.25,1.0,1.75,3.0
clear_success_rate,10,0.928,0.06,0.833,0.879,0.926,0.985,1.0
avg_bearings_per_source,10,3.751,0.288,3.38,3.495,3.725,4.0,4.18
n_switch,10,324.1,44.827,243.0,301.5,338.5,353.75,380.0
move_distance_m,10,29767.6,6605.41,24129.0,24883.15,27238.7,33828.85,43820.4
move_time_s,10,5953.53,1321.091,4825.8,4976.625,5447.75,6765.775,8764.1
measure_time_s,10,1716.5,248.328,1305.0,1571.25,1767.5,1906.25,2020.0
switch_time_s,10,324.1,44.827,243.0,301.5,338.5,353.75,380.0
clear_time_s,10,66.3,11.314,50.0,58.5,65.5,71.0,84.0
other_time_s,10,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
init_time_s,10,119.0,0.0,119.0,119.0,119.0,119.0,119.0
hunt_time_s,10,7941.43,1394.24,6814.1,6931.575,7488.2,8394.1,11083.1
ring_time_s,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_elapsed_s,10,6.248,1.034,4.89,5.345,6.285,7.13,7.58
